,term,neutral_alternative
965,pugman,
966,Pullman,
967,pumpman,
968,pumpsman,
969,puntsman,
970,puppetman,
971,purlieuman,
972,purlman,
973,puzzleman,
974,quarryman,
975,quarterman,
976,quayman,
977,queriman,
978,questman,
979,radarman,
980,raddleman,
981,radioman,
982,radman,
983,raftman,
984,raftsman,
985,ragman,
986,railman,
987,raiseman,
988,rammerman,
989,rampsman,
990,ranchman,
991,ranchwoman,
992,rangeman,
993,ranksman,
994,ranselman,
995,razorman,
996,reddleman,
997,reddsman,
998,redesman,
999,reedman,
1000,relayman,
1001,repairman,
1002,Ribbonman,
1003,ridingman,
1004,rifleman,
1005,riflemanship,
1006,ringman,
1007,ripperman,
1008,riverman,
1009,roadman,
1010,roadsman,
1011,rockman,
1012,rodman,
1013,rodsman,
1014,rollerman,
1015,rolleywayman,
1016,roofman,
1017,ropeman,
1018,rotaman,
1019,roundsman,
1020,ruddleman,
1021,runman,
1022,sackman,
1023,sagaman,
1024,sailorman,
1025,sailsman,
1026,salesman,
1027,salesmanship,
1028,saleswoman,
1029,sallyman,
1030,saltman,
1031,sampleman,
1032,sandman,
1033,sawman,
1034,scaleman,
1035,scalesman,
1036,scampsman,
1037,scarman,
1038,sceneman,
1039,schoolman,
1040,Scotchman,
1041,scotchman,
1042,Scotchwoman,
1043,Scotsman,
1044,Scotswoman,
1045,Scottishman,
1046,scowman,
1047,scrapman,
1048,scratchman,
1049,screeman,
1050,screenman,
1051,screensman,
1052,screwman,
1053,screwsman,
1054,scruffman,
1055,scuttleman,
1056,scytheman,
1057,seaman,
1058,seamancraft,
1059,seamanlike,
1060,seamanly,
1061,seamanship,
1062,seatsman,
1063,seawoman,
1064,seedman,
1065,seedsman,
1066,selectman,
1067,semimadman,
1068,serviceman,
1069,servingman,
1070,setsman,
1071,settsman,
1072,sewerman,
1073,shaftman,
1074,shaftsman,
1075,shaleman,
1076,shanksman,
1077,shantyman,
1078,shareman,
1079,sharesman,
1080,shearman,
1081,shearsman,
1082,sheaveman,
1083,shedman,
1084,sheepman,
1085,shellman,
1086,shipman,
1087,shipmanship,
1088,shireman,
1089,shirtman,
1090,shoeman,
1091,shoewoman,
1092,shootman,
1093,shopman,
1094,shopwoman,
1095,shoreman,
1096,shoresman,
1097,shotman,
1098,shotsman,
1099,shovelman,
1100,showman,
1101,showmanism,
1102,showmanry,
1103,showmanship,
1104,sickleman,
1105,sidesman,
1106,signalman,
1107,signman,
1108,silkman,
1109,silksman,
1110,silkwoman,
1111,sizeman,
1112,skipman,
1113,skyman,
1114,slabman,
1115,slagman,
1116,slaughterman,
1117,slideman,
1118,slimeman,
1119,slingsman,
1120,slipman,
1121,sloopman,
1122,smacksman,
1123,smelterman,
1124,smeltman,
1125,snackman,
1126,sneaksman,
1127,snowmanship,
1128,snuffman,
